phrase,n,freq_books,rank,mi,lemma_key,spoken_words,auto_keep,auto_reason,keep,notes
de la,2,199238029,1,2.32,de le,yes,no,fragment; loose,,
de l',2,118353922,2,2.22,de le,yes,no,fragment; loose,,
à la,2,79726696,3,2.26,à le,yes,no,fragment; loose,,
à l',2,62495552,4,2.55,à le,yes,no,fragment; loose,,
d' un,2,55404944,5,3.52,de un,yes,no,fragment,,
d' une,2,50578297,6,3.68,de un,yes,no,fragment,,
et de,2,45830376,7,0.54,et de,yes,no,fragment; loose,,
dans le,2,45059629,8,3.05,dans le,yes,no,fragment,,
dans la,2,42866486,9,2.55,dans le,yes,no,fragment; loose,,
dans les,2,31086370,10,2.8,dans le,yes,no,fragment; loose,,
sur le,2,30240306,11,3.23,sur le,yes,no,fragment,,
et les,2,27729386,12,1.27,et le,yes,no,fragment; loose,,
de son,2,27127800,13,2.06,de son,yes,no,fragment; loose,,
que je,2,26005927,14,3.63,que je,yes,no,,,
je ne,2,25361333,15,4.42,je ne,yes,no,fragment,,
sur la,2,25204929,16,2.55,sur le,yes,no,fragment; loose,,
et la,2,25138110,17,0.42,et le,yes,no,fragment; loose,,
et le,2,24537849,18,0.81,et le,yes,no,fragment; loose,,
ce qui,2,24454906,19,4.18,ce qui,yes,no,article + word,,
ce que,2,23259462,20,3.68,ce que,yes,no,fragment; article + word,,
que le,2,22606160,21,1.77,que le,yes,no,fragment; loose,,
que les,2,22058634,22,2.02,que le,yes,no,fragment; loose,,
dans l',2,21130069,23,2.18,dans le,yes,no,fragment; loose,,
il est,2,20630614,24,2.43,il être,yes,no,loose,,
que la,2,20529985,25,1.21,que le,yes,no,fragment; loose,,
de sa,2,19602901,26,2.12,de son,yes,no,fragment; loose,,
dans un,2,18707718,27,2.5,dans un,yes,no,fragment; loose,,
sur les,2,18654251,28,2.82,sur le,yes,no,fragment; loose,,
que l',2,18609104,29,1.71,que le,yes,no,fragment; loose,,
tous les,2,18078068,30,4.97,tout le,yes,no,fragment,,
par la,2,17913907,31,1.99,par le,yes,no,fragment; loose,,
de l,2,17428622,32,,de l,yes,no,fragment,,
et des,2,17335559,33,0.98,et un,yes,no,fragment; loose,,
de ses,2,17101767,34,2.15,de son,yes,no,fragment; loose,,
par le,2,17062445,35,2.34,par le,yes,no,fragment; loose,,
de ce,2,16986552,36,1.06,de ce,yes,no,fragment; loose,,
il y,2,16702616,37,4.35,il y,yes,no,,,
et l',2,15594438,38,0.38,et le,yes,no,fragment; loose,,
par les,2,15005446,39,2.45,par le,yes,no,fragment; loose,,
je suis,2,14670144,40,6.56,je être,yes,yes,,,
pour les,2,14454555,41,1.97,pour le,yes,no,fragment; loose,,
pour la,2,13940473,42,1.2,pour le,yes,no,fragment; loose,,
il ne,2,13751628,43,2.61,il ne,yes,no,fragment; loose,,
un peu,2,13723515,44,5.21,un peu,yes,no,article + word,,
pas de,2,13702412,45,0.46,pas de,yes,no,fragment; loose,,
y a,2,13684456,46,5.31,y avoir,yes,no,,,
je me,2,13654387,47,4.96,je me,yes,no,fragment,,
dans une,2,13536652,48,2.32,dans un,yes,no,fragment; loose,,
de cette,2,13237238,49,1.86,de ce,yes,no,fragment; loose,,
à un,2,13190110,50,0.81,à un,yes,no,fragment; loose,,
à une,2,12965967,51,1.07,à un,yes,no,fragment; loose,,
et à,2,12892139,52,-0.03,et à,yes,no,fragment; loose,,
pour le,2,12724482,53,1.49,pour le,yes,no,fragment; loose,,
et d',2,11657787,54,0.47,et de,yes,no,fragment; loose,,
que vous,2,11589331,55,3.38,que vous,yes,no,,,
que nous,2,11538783,56,3.5,que nous,yes,no,,,
l' on,2,11502710,57,2.64,le on,yes,no,article + word; loose,,
l' autre,2,11313285,58,4.14,le autre,yes,no,article + word,,
de ces,2,11285336,59,2.26,de ce,yes,no,fragment; loose,,
que tu,2,11175747,60,4.25,que tu,yes,no,,,
à son,2,11113513,61,2.03,à son,yes,no,fragment; loose,,
il se,2,11093505,62,2.4,il se,yes,no,fragment; loose,,
d' autres,2,11064473,63,4.82,de autre,yes,yes,,,
qui se,2,11049705,64,3.08,qui se,yes,no,fragment,,
de se,2,10821201,65,0.45,de se,yes,no,fragment; loose,,
la vie,2,10782638,66,3.84,le vie,yes,no,article + word,,
le plus,2,10748872,67,1.87,le plus,yes,no,article + word; loose,,
a été,2,10375306,68,5.67,avoir être,yes,yes,,,
la tête,2,10354402,69,4.43,le tête,yes,no,article + word,,
il a,2,10249307,70,2.37,il avoir,yes,no,loose,,
et il,2,10216412,71,0.29,et il,yes,no,fragment; loose,,
qui est,2,10204151,72,2.1,qui être,yes,no,loose,,
il y a,3,10203393,73,11.17,il y avoir,yes,yes,,,
il faut,2,10178228,74,5.62,il falloir,yes,yes,,,
par l',2,10124598,75,1.81,par le,yes,no,fragment; loose,,
les deux,2,10056761,76,3.62,le deux,yes,no,article + word,,
de leur,2,10050552,77,1.97,de son,yes,no,fragment; loose,,
d' être,2,9913747,78,3.52,de être,yes,yes,,,
sur l',2,9843949,79,1.84,sur le,yes,no,fragment; loose,,
toutes les,2,9776735,80,4.98,tout le,yes,no,fragment,,
à ce,2,9712575,81,1.51,à ce,yes,no,fragment; loose,,
ne pas,2,9559722,82,2.92,ne pas,yes,no,loose,,
et je,2,9503500,83,1.1,et je,yes,no,fragment; loose,,
de plus,2,9266152,84,0.49,de plus,yes,no,fragment; loose,,
plus de,2,9236879,85,0.48,plus de,yes,no,fragment; loose,,
il avait,2,9215343,86,3.09,il avoir,yes,yes,,,
le monde,2,9165224,87,4.34,le monde,yes,no,article + word,,
dans son,2,9001630,88,2.92,dans son,yes,no,fragment; loose,,
mais il,2,8981957,89,2.68,mais il,yes,no,loose,,
pour l',2,8975808,90,1.21,pour le,yes,no,fragment; loose,,
de lui,2,8920906,91,0.94,de luire,yes,no,fragment; loose,,
et que,2,8721344,92,0.31,et que,yes,no,fragment; loose,,
qui ne,2,8528171,93,2.61,qui ne,yes,no,fragment; loose,,
l' homme,2,8518727,94,4.29,le homme,yes,no,article + word,,
avec un,2,8329983,95,2.59,avec un,yes,no,fragment; loose,,
comme un,2,8327365,96,2.88,comme un,yes,no,fragment; loose,,
les yeux,2,8321135,97,4.73,le oeil,yes,no,article + word,,
à des,2,8285186,98,0.09,à un,yes,no,fragment; loose,,
le temps,2,8268400,99,3.59,le temps,yes,no,article + word,,
avec les,2,8155974,100,2.12,avec le,yes,no,fragment; loose,,
il était,2,8155725,101,2.72,il être,yes,no,loose,,
ou de,2,8103097,102,0.84,ou de,yes,no,fragment; loose,,
pas à,2,8084943,103,0.95,pas à,yes,no,fragment; loose,,
la première,2,8057402,104,4.49,le première,yes,no,article + word,,
que ce,2,8016488,105,2.14,que ce,yes,no,fragment; loose,,
à l,2,7985103,106,,à l,yes,no,,,
les autres,2,7934222,107,3.9,le autre,yes,no,article + word,,
avec le,2,7888092,108,1.79,avec le,yes,no,fragment; loose,,
les plus,2,7823861,109,1.7,le plus,yes,no,article + word; loose,,
quelque chose,2,7715117,110,9.98,quelque chose,yes,yes,,,
par un,2,7702585,111,1.92,par un,yes,no,fragment; loose,,
ne peut,2,7633068,112,4.82,ne pouvoir,yes,yes,,,
en effet,2,7589377,113,5.52,en effet,yes,no,written style,,
et en,2,7462475,114,-0.25,et en,yes,no,fragment; loose,,
tout le,2,7443509,115,2.17,tout le,yes,no,fragment; loose,,
dans sa,2,7415141,116,3.16,dans son,yes,no,fragment,,
qui a,2,7386886,117,2.58,qui avoir,yes,no,loose,,
et qui,2,7381690,118,0.5,et qui,yes,no,fragment; loose,,
dans ce,2,7363145,119,2.3,dans ce,yes,no,fragment; loose,,
la main,2,7308041,120,4.14,le main,yes,no,article + word,,
l' un,2,7229629,121,0.08,le un,yes,no,fragment; article + word; loose,,
la porte,2,7221886,122,4.3,le porte,yes,no,article + word,,
avec une,2,7221044,123,2.67,avec un,yes,no,fragment; loose,,
parce que,2,7199901,124,5.73,parce que,yes,no,fragment,,
avec la,2,7188424,125,1.23,avec le,yes,no,fragment; loose,,
de faire,2,7168389,126,1.77,de faire,yes,no,fragment; loose,,
à sa,2,7159831,127,1.93,à son,yes,no,fragment; loose,,
entre les,2,7138407,128,3.48,entrer le,yes,no,fragment,,
nous avons,2,7119826,129,7.73,nous avoir,yes,yes,,,
elle se,2,7116301,130,2.82,lui se,yes,no,fragment; loose,,
est un,2,7085973,131,0.87,être un,yes,no,fragment; loose,,
elle est,2,6976057,132,1.92,lui être,yes,no,loose,,
avant de,2,6933502,133,2.53,avant de,yes,no,fragment; loose,,
et de la,3,6915867,134,2.93,et de le,yes,no,fragment; loose,,
on ne,2,6883025,135,3.49,on ne,yes,no,fragment,,
par exemple,2,6851163,136,6.93,par exemple,yes,yes,,,
et se,2,6787056,137,0.86,et se,yes,no,fragment; loose,,
sur un,2,6767205,138,1.8,sur un,yes,no,fragment; loose,,
d ' un,3,6746866,139,,d ' un,no,no,fragment; rare word,,
ne se,2,6723982,140,2.75,ne se,yes,no,fragment; loose,,
ceux qui,2,6715190,141,5.99,celui qui,yes,yes,,,
par des,2,6669397,142,1.66,par un,yes,no,fragment; loose,,
je vous,2,6625543,143,3.24,je vous,yes,no,,,
par une,2,6587853,144,1.98,par un,yes,no,fragment; loose,,
et du,2,6586057,145,0.1,et du,yes,no,fragment; loose,,
la même,2,6401639,146,1.71,le même,yes,no,article + word; loose,,
elle ne,2,6384091,147,2.57,lui ne,yes,no,fragment; loose,,
elle avait,2,6367000,148,3.62,lui avoir,yes,yes,,,
pas le,2,6366816,149,0.52,pas le,yes,no,fragment; loose,,
tout ce,2,6322865,150,3.8,tout ce,yes,no,fragment,,
d ' une,3,6284954,151,,d ' un,no,no,fragment; rare word,,
plus tard,2,6221048,152,7.37,plus tard,yes,yes,,,
on peut,2,6214452,153,5.33,on pouvoir,yes,yes,,,
la plus,2,6123455,154,0.63,le plus,yes,no,article + word; loose,,
et un,2,6106486,155,-0.47,et un,yes,no,fragment; loose,,
de mon,2,6079640,156,1.6,de mon,yes,no,fragment; loose,,
un autre,2,6049468,157,3.74,un autre,yes,no,article + word,,
que l' on,3,5997475,158,8.23,que le on,yes,yes,,,
une fois,2,5971774,159,4.47,un fois,yes,no,article + word,,
la maison,2,5922375,160,4.23,le maison,yes,no,article + word,,
comme une,2,5920577,161,2.67,comme un,yes,no,fragment; loose,,
la fin,2,5888896,162,4.21,le fin,yes,no,article + word,,
de leurs,2,5876751,163,2.25,de leurs,yes,no,fragment; loose,,
ainsi que,2,5845506,164,4.41,ainsi que,yes,no,fragment; written style,,
et une,2,5833789,165,-0.25,et un,yes,no,fragment; loose,,
de ne,2,5832535,166,-0.53,de ne,yes,no,fragment; loose,,
à partir,2,5828983,167,5,à partir,yes,yes,,,
mais je,2,5810932,168,2.97,mais je,yes,no,loose,,
ne sont,2,5810503,169,3.79,ne être,yes,yes,,,
sans doute,2,5772022,170,8.66,sans doute,yes,yes,,,
d' abord,2,5727147,171,6.07,de abord,yes,yes,,,
l' air,2,5725403,172,4.91,le air,yes,no,article + word,,
il en,2,5671821,173,0.18,il en,yes,no,fragment; loose,,
alors que,2,5638601,174,4.11,alors que,yes,no,fragment,,
la ville,2,5622670,175,4.22,le ville,yes,no,article + word,,
que de,2,5570833,176,-1.42,que de,yes,no,fragment; loose,,
à cette,2,5555370,177,1.87,à ce,yes,no,fragment; loose,,
à ses,2,5521832,178,1.77,à son,yes,no,fragment; loose,,
du monde,2,5462072,179,4.78,du monde,yes,no,article + word,,
est le,2,5450663,180,-0.24,être le,yes,no,fragment; loose,,
qui lui,2,5435231,181,2.82,qui luire,yes,no,loose,,
un des,2,5414346,182,0.11,un un,yes,no,fragment; article + word; loose,,
avec des,2,5409669,183,1.92,avec un,yes,no,fragment; loose,,
de le,2,5371364,184,-2.47,de le,yes,no,fragment; loose,,
où il,2,5335615,185,3.28,où il,yes,yes,,,
vous avez,2,5325366,186,7.28,vous avoir,yes,yes,,,
est une,2,5297114,187,0.73,être un,yes,no,fragment; loose,,
elle a,2,5296313,188,2.48,lui avoir,yes,no,loose,,
et son,2,5292797,189,0.79,et son,yes,no,fragment; loose,,
dans cette,2,5275199,190,2.98,dans ce,yes,no,fragment; loose,,
un homme,2,5269374,191,4.1,un homme,yes,no,article + word,,
à se,2,5244901,192,0.67,à se,yes,no,fragment; loose,,
dans ses,2,5173123,193,2.87,dans son,yes,no,fragment; loose,,
une autre,2,5170388,194,3.8,un autre,yes,no,article + word,,
sur une,2,5163905,195,1.69,sur un,yes,no,fragment; loose,,
comme le,2,5148144,196,1.46,comme le,yes,no,fragment; loose,,
d' ailleurs,2,5131981,197,5.4,de ailleurs,yes,yes,,,
d' avoir,2,5128799,198,3.95,de avoir,yes,yes,,,
le premier,2,5110837,199,4.24,le premier,yes,no,article + word,,
tu as,2,5097039,200,7.91,tu avoir,yes,yes,,,
la mort,2,5094249,201,3.99,le mort,yes,no,article + word,,
la nuit,2,5088858,202,4.28,le nuit,yes,no,article + word,,
et ses,2,5006330,203,1.46,et son,yes,no,fragment; loose,,
tout à,2,5002911,204,1.68,tout à,yes,no,fragment; loose,,
de ma,2,4979459,205,1.82,de mon,yes,no,fragment; loose,,
en plus,2,4974706,206,1.41,en plus,yes,no,loose,,
je vais,2,4940538,207,6.98,je aller,yes,yes,,,
sur son,2,4930297,208,2.81,sur son,yes,no,fragment; loose,,
si vous,2,4923171,209,4.28,si vous,yes,no,,,
l' avait,2,4921325,210,1.67,le avoir,yes,no,article + word; loose,,
je l',2,4918777,211,0.46,je le,yes,no,fragment; loose,,
de notre,2,4913816,212,2.31,de notre,yes,no,fragment; loose,,
peut être,2,4911826,213,5.58,pouvoir être,yes,yes,,,
l' histoire,2,4910187,214,4.4,le histoire,yes,no,article + word,,
point de,2,4892583,215,2.69,point de,yes,no,fragment; loose,,
à faire,2,4860186,216,2.47,à faire,yes,no,loose,,
avec l',2,4859548,217,1.31,avec le,yes,no,fragment; loose,,
nous sommes,2,4849974,218,7.81,nous être,yes,yes,,,
le cas,2,4848672,219,3.77,le cas,yes,no,article + word,,
